,id,title,description,link,categories_id,categories_title,geometries_coordinates,geometries_date,geometries_type,sources_id,sources_url
81,EONET_3604,"Wildfire MB-NE072, Manitoba, Canada",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3604,8,Wildfires,"[-100.7764, 56.6583]",2018-06-23T00:00:00Z,Point,MBFIRE,http://www.gov.mb.ca/sd/fire/Fire-Statistic/2018/MBFIRE18.txt
82,EONET_3593,Graham Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3593,8,Wildfires,"[-121.426, 44.539]",2018-06-21T13:30:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5855/
83,EONET_3594,Boxcar Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3594,8,Wildfires,"[-121.071, 45.16]",2018-06-21T07:45:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5862/
84,EONET_3594,Boxcar Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3594,8,Wildfires,"[-121.071, 45.16]",2018-06-21T07:45:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82388
85,EONET_3609,"Comstock Lake Fire, British Columbia, Canada",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3609,8,Wildfires,"[-124.0255203, 53.4449348]",2018-06-21T00:00:00Z,Point,BCWILDFIRE,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=695
87,EONET_3610,"Yankee Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3610,8,Wildfires,"[-120.75593, 35.73629]",2018-06-20T18:22:00Z,Point,CALFIRE,http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2074
88,EONET_3597,Jack Knife Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3597,8,Wildfires,"[-120.613, 45.272]",2018-06-20T15:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5864/
89,EONET_3607,Little Conchas Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3607,8,Wildfires,"[-104.762, 35.279]",2018-06-20T11:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5869/
90,EONET_3592,"Kloch Lake Fire, British Columbia, Canada",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3592,8,Wildfires,"[-125.0085667, 55.0737333]",2018-06-20T00:00:00Z,Point,BCWILDFIRE,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=692
93,EONET_3586,Upper Colony Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3586,8,Wildfires,"[-119.403, 38.817]",2018-06-17T11:44:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5849/
95,EONET_3603,Crooked Creek Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3603,8,Wildfires,"[-105.026, 32.508]",2018-06-15T11:15:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5848/
96,EONET_3587,"Wildfire MB-NE058, Manitoba, Canada",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3587,8,Wildfires,"[-93.7989, 54.7419]",2018-06-12T00:00:00Z,Point,MBFIRE,http://www.gov.mb.ca/sd/fire/Fire-Statistic/2018/MBFIRE18.txt
97,EONET_3573,Soap Lake Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3573,8,Wildfires,"[-119.484, 47.396]",2018-06-11T16:30:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5843/
98,EONET_3606,Lions Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3606,8,Wildfires,"[-119.118, 37.571]",2018-06-11T12:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5850/
99,EONET_3571,Badger Creek Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3571,8,Wildfires,"[-106.216, 41.028]",2018-06-10T15:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5836/
100,EONET_3571,Badger Creek Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3571,8,Wildfires,"[-106.216, 41.028]",2018-06-10T15:00:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82057
103,EONET_3569,Burro Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3569,8,Wildfires,"[-108.111, 37.513]",2018-06-08T15:45:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5834/
104,EONET_3577,"Wildfire MB-NE056, Manitoba, Canada",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3577,8,Wildfires,"[-92.4653, 55.0236]",2018-06-08T00:00:00Z,Point,MBFIRE,http://www.gov.mb.ca/sd/fire/Fire-Statistic/2018/MBFIRE18.txt
107,EONET_3568,Soldier Canyon Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3568,8,Wildfires,"[-105.769, 33.171]",2018-06-07T15:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5833/
108,EONET_3574,Willow Creek Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3574,8,Wildfires,"[-111.188, 40.307]",2018-06-06T18:15:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5837/
109,EONET_3576,Trail Mountain Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3576,8,Wildfires,"[-111.216, 39.358]",2018-06-06T00:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5830/
112,EONET_3552,377 Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3552,8,Wildfires,"[-110.371, 34.461]",2018-06-04T13:30:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5825/
113,EONET_3548,416 Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3548,8,Wildfires,"[-107.808, 37.461]",2018-06-01T10:02:00Z,Point,EO,https://earthobservatory.nasa.gov/NaturalHazards/view.php?id=92284
114,EONET_3548,416 Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3548,8,Wildfires,"[-107.808, 37.461]",2018-06-01T10:02:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5822/
115,EONET_3548,416 Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3548,8,Wildfires,"[-107.808, 37.461]",2018-06-01T10:02:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=81717
3,EONET_3633,Tropical Storm Fabio,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3633,10,Severe Storms,"[-104.4, 11.2]",2018-06-30T18:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24579/download?token=C0o-9itr
13,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[130.9, 19.7]",2018-06-28T18:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
14,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[130.9, 19.7]",2018-06-28T18:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
15,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[130.5, 19.6]",2018-06-29T00:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
16,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[130.5, 19.6]",2018-06-29T00:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
17,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[130.1, 19.7]",2018-06-29T06:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
18,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[130.1, 19.7]",2018-06-29T06:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
19,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[129.7, 20.0]",2018-06-29T12:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
20,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[129.7, 20.0]",2018-06-29T12:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
21,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[129.7, 20.2]",2018-06-29T18:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
22,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[129.7, 20.2]",2018-06-29T18:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
23,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[129.5, 20.9]",2018-06-30T00:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
24,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[129.5, 20.9]",2018-06-30T00:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
25,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[129.2, 21.2]",2018-06-30T06:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
26,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[129.2, 21.2]",2018-06-30T06:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
27,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[128.6, 22.0]",2018-06-30T12:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
28,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[128.6, 22.0]",2018-06-30T12:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
29,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[128.0, 22.9]",2018-06-30T18:00:00Z,Point,GDACS,http://www.gdacs.org/report.aspx?eventtype=TC&amp;eventid=1000464
30,EONET_3617,Typhoon Prapiroon,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3617,10,Severe Storms,"[128.0, 22.9]",2018-06-30T18:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24575/download?token=zVJ8nh34
46,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-108.5, 13.3]",2018-06-27T18:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
47,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-109.6, 13.6]",2018-06-28T00:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
48,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-111.3, 13.8]",2018-06-28T06:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
49,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-112.4, 14.4]",2018-06-28T12:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
50,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-113.6, 14.9]",2018-06-28T18:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
51,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-114.5, 15.4]",2018-06-29T00:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
52,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-115.3, 16.0]",2018-06-29T06:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
53,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-116.3, 16.2]",2018-06-29T12:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
54,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-116.9, 16.6]",2018-06-29T18:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
55,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-117.8, 16.8]",2018-06-30T00:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
56,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-118.6, 17.0]",2018-06-30T06:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
57,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-119.2, 17.7]",2018-06-30T12:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
58,EONET_3613,Tropical Storm Emilia,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3613,10,Severe Storms,"[-120.0, 18.0]",2018-06-30T18:00:00Z,Point,UNISYS,http://weather.unisys.com/file/24571/download?token=9VNsk1gp
